idx,symbol,date_group,price_1,qty_ratio_1,price_2,qty_ratio_2,price_3,qty_ratio_3,qty_total,price_item_count,future_buy_price,future_sell_price
14796,3224,20180718_20180719_20180720,55.15,0.1846,56.16,0.3871,57.34,0.1326,558,31,57.0,55.2
14797,3224,20180719_20180720_20180723,55.01,0.209,55.91,0.4078,56.42,0.1967,488,24,56.3,55.7
14798,3224,20180720_20180723_20180724,55.19,0.2397,55.95,0.3739,56.54,0.0823,559,24,58.0,57.3
14799,3224,20180723_20180724_20180725,55.5,0.1576,56.4,0.3405,57.62,0.177,514,29,58.4,58.1
14800,3224,20180724_20180725_20180726,55.42,0.169,56.45,0.2117,57.83,0.3586,633,33,60.3,59.7
14801,3224,20180725_20180726_20180727,56.47,0.1205,57.91,0.2125,59.63,0.4674,1228,44,61.6,59.1
14802,3224,20180726_20180727_20180730,58.06,0.1202,59.74,0.4279,61.08,0.2303,1589,41,60.2,59.2
14803,3224,20180727_20180730_20180731,59.42,0.3227,60.05,0.318,61.08,0.2187,1500,34,60.1,59.1
14804,3224,20180730_20180731_20180801,59.61,0.2686,60.14,0.2349,61.11,0.2507,1009,26,59.6,59.2
14805,3226,20180621_20180622_20180625,50.16,0.2474,51.57,0.134,53.82,0.3454,194,33,52.3,49.6
14806,3226,20180622_20180625_20180626,50.11,0.1925,51.56,0.1551,53.82,0.3583,187,35,51.9,50.9
14807,3227,20180702_20180703_20180704,106.65,0.1813,109.96,0.2445,112.43,0.1841,5550,20,107.5,105.0
14808,3227,20180703_20180704_20180705,106.04,0.3414,108.66,0.1795,110.91,0.1679,4985,18,110.0,108.0
14809,3227,20180730_20180731_20180801,109.97,0.1424,113.59,0.2563,115.88,0.2491,8265,21,115.5,114.0
14810,3228,20180621_20180622_20180625,35.66,0.3399,36.08,0.2062,36.68,0.1478,1062,36,35.8,35.3
14811,3228,20180622_20180625_20180626,35.47,0.1624,35.87,0.2703,36.57,0.0885,825,32,36.5,35.65
14812,3228,20180625_20180626_20180627,35.37,0.1667,35.86,0.3252,36.48,0.1505,864,32,38.3,37.6
14813,3228,20180626_20180627_20180628,35.65,0.2145,36.44,0.1622,37.45,0.177,1147,54,39.55,37.1
14814,3228,20180627_20180628_20180629,36.07,0.0851,37.65,0.1238,38.82,0.2824,2302,72,40.0,36.35
14815,3228,20180628_20180629_20180702,36.18,0.0331,37.68,0.2345,38.93,0.2289,2874,70,38.3,36.5
14816,3228,20180629_20180702_20180703,37.19,0.1074,38.17,0.1881,39.1,0.2126,2690,63,37.9,36.1
14817,3228,20180702_20180703_20180704,37.16,0.2678,37.98,0.2209,39.46,0.0739,1557,59,37.8,35.75
14818,3228,20180703_20180704_20180705,36.47,0.2089,37.22,0.2805,37.93,0.112,991,43,36.75,36.1
14819,3228,20180704_20180705_20180706,36.07,0.2832,36.81,0.1087,37.43,0.1661,837,42,37.2,37.0
14820,3228,20180705_20180706_20180709,36.06,0.3123,36.59,0.192,37.25,0.0802,823,38,37.35,36.65
14821,3228,20180706_20180709_20180710,35.99,0.2884,36.56,0.1429,37.16,0.25,756,31,37.35,36.8
14822,3228,20180709_20180710_20180711,36.18,0.1135,36.69,0.1135,37.15,0.3477,555,25,37.2,37.2
14823,3228,20180711_20180712_20180713,37.03,0.2364,38.01,0.455,38.54,0.0931,956,41,39.2,38.2
14824,3228,20180712_20180713_20180716,37.06,0.0936,38.03,0.3323,38.7,0.2085,1559,44,42.4,41.0
14825,3228,20180713_20180716_20180717,38.41,0.2207,40.27,0.0939,41.93,0.2295,3960,83,45.7,43.0
14826,3228,20180716_20180717_20180718,38.88,0.1359,41.98,0.3788,44.7,0.2074,7246,141,46.3,43.5
14827,3228,20180717_20180718_20180719,39.54,0.0467,42.11,0.2848,44.59,0.2536,8908,137,45.5,44.7
14828,3228,20180718_20180719_20180720,42.26,0.1381,43.92,0.2031,44.99,0.3092,7567,93,48.5,47.0
14829,3228,20180719_20180720_20180723,44.32,0.2814,46.33,0.1134,47.96,0.1163,6312,102,50.4,47.1
14830,3228,20180720_20180723_20180724,44.59,0.1828,47.07,0.2037,48.77,0.2628,5925,118,50.2,43.7
14831,3228,20180723_20180724_20180725,46.54,0.1037,48.0,0.2807,49.27,0.1454,6672,94,48.5,47.65
14832,3228,20180724_20180725_20180726,44.94,0.1142,47.41,0.1634,49.09,0.2226,6621,124,49.5,47.5
14833,3228,20180725_20180726_20180727,44.56,0.1409,46.55,0.1478,48.5,0.2646,5804,120,49.35,47.6
14834,3228,20180726_20180727_20180730,44.54,0.1552,46.37,0.1817,48.4,0.3303,4826,106,49.2,49.5
14835,3228,20180727_20180730_20180731,47.91,0.149,48.43,0.3396,49.09,0.1092,2939,39,52.5,50.6
14836,3228,20180730_20180731_20180801,48.46,0.1716,50.83,0.1407,52.03,0.4094,4861,65,54.0,52.6
14837,3229,20180627_20180628_20180629,16.97,0.1372,17.81,0.1934,18.33,0.2579,605,33,17.75,16.9
14838,3229,20180628_20180629_20180702,17.28,0.243,17.82,0.1952,18.33,0.2072,753,35,17.45,16.8
14839,3229,20180629_20180702_20180703,17.3,0.2464,17.82,0.1712,18.33,0.2023,771,28,17.2,16.9
14840,3229,20180702_20180703_20180704,16.92,0.1963,17.21,0.1918,17.48,0.3082,438,19,17.3,16.85
14841,3229,20180723_20180724_20180725,17.36,0.1396,17.85,0.0943,18.31,0.5151,530,22,18.35,17.85
14842,3229,20180724_20180725_20180726,17.37,0.0743,18.0,0.2391,18.32,0.414,686,23,18.1,17.6
14843,3230,20180704_20180705_20180706,6.01,0.4072,6.17,0.1257,6.4,0.0719,167,25,6.27,6.16
14844,3230,20180705_20180706_20180709,6.01,0.4121,6.2,0.1636,6.35,0.2364,165,22,6.4,6.11
14845,3230,20180706_20180709_20180710,6.01,0.358,6.2,0.1818,6.38,0.1023,176,19,6.31,6.06
14846,3231,20180703_20180704_20180705,21.78,0.3655,22.16,0.2534,22.39,0.1712,43954,18,21.9,21.7
14847,3231,20180704_20180705_20180706,21.49,0.1649,21.77,0.3897,22.15,0.2126,50672,19,22.0,21.85
14848,3231,20180712_20180713_20180716,21.85,0.3741,22.23,0.085,22.64,0.3375,30114,23,23.95,23.55
14849,3231,20180713_20180716_20180717,22.1,0.0685,22.65,0.1903,23.6,0.3056,60017,37,23.9,23.55
14850,3231,20180716_20180717_20180718,22.64,0.1455,23.35,0.0816,23.72,0.4448,69831,25,23.75,23.25
14851,3231,20180717_20180718_20180719,23.26,0.0726,23.59,0.3259,23.77,0.3745,66018,18,23.75,22.85
14852,3231,20180720_20180723_20180724,22.93,0.2174,23.1,0.3773,23.5,0.1999,37915,18,23.25,22.9
