model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,1,72,sigmoid,0.0001,mean_squared_error at,216,144,229.2,6.948,6.067,0.04783
LSTM,1,288,tanh,0.001,mean_absolute_error at,288,288,556.2,3.909,1.113,0.01825
LSTM,1,144,tanh,0.001,mean_squared_error at,144,144,279.7,3.049,1.821,0.02891
LSTM,2,144,sigmoid,1e-05,logcosh at,216,72,952.4,13.427,12.557,0.05255
LSTM,1,16,tanh,0.0001,mean_absolute_error at,900,36,1917.2,4.296,1.120,0.01823
LSTM,1,36,sigmoid,0.01,mean_absolute_error at,216,288,174.5,2.596,1.154,0.02206
LSTM,1,144,relu,0.001,logcosh at,144,36,799.3,5.549,1.073,0.02160
LSTM,1,56,tanh,0.0001,mean_absolute_error at,400,36,1100.6,3.300,1.130,0.01786
LSTM,2,288,sigmoid,0.001,mean_squared_error at,144,72,1334.6,2.626,1.133,0.02343
LSTM,1,72,tanh,1e-05,mean_squared_error at,144,72,395.3,11.839,10.377,0.05302
LSTM,2,72,sigmoid,1e-05,logcosh at,288,288,383.5,23.134,20.798,0.05282
LSTM,1,288,sigmoid,0.001,mean_absolute_error at,216,144,576.3,4.105,1.184,0.02106
LSTM,1,36,tanh,0.001,mean_squared_error at,288,288,246.5,4.899,1.111,0.01865
LSTM,1,36,tanh,0.0001,mean_squared_error at,144,72,363.7,3.701,1.462,0.02507
LSTM,2,72,tanh,1e-05,mean_absolute_error at,216,36,1109.9,4.169,1.166,0.02058
LSTM,1,24,tanh,0.0001,mean_absolute_error at,900,36,2139.3,3.369,1.123,0.01836
LSTM,1,72,relu,0.001,logcosh at,216,36,882.4,5.526,1.185,0.01946
LSTM,1,144,tanh,0.001,mean_absolute_error at,144,288,217.1,1.697,1.162,0.01912
LSTM,2,144,sigmoid,0.01,mean_squared_error at,144,36,1091.8,2.184,1.689,0.03758
LSTM,1,288,sigmoid,0.001,mean_squared_error at,216,144,628.5,4.842,1.205,0.02540
LSTM,1,56,tanh,0.0001,mean_absolute_error at,500,36,1353.8,4.468,1.108,0.01819
LSTM,1,36,tanh,0.0001,mean_squared_error at,144,72,453.1,4.890,1.211,0.02243
LSTM,2,288,sigmoid,0.0001,mean_squared_error at,288,288,1187.7,2.706,1.636,0.02975
LSTM,1,16,tanh,0.0001,mean_absolute_error at,400,36,985.9,4.167,1.102,0.01799
LSTM,2,288,tanh,1e-05,mean_absolute_error at,144,288,630.5,14.823,13.449,0.05100
LSTM,1,72,tanh,0.01,logcosh at,288,36,1005.3,2.146,1.227,0.02003
LSTM,1,36,relu,1e-05,mean_absolute_error at,144,144,250.8,26.025,26.309,0.04969
LSTM,1,144,tanh,0.001,mean_squared_error at,216,288,240.0,3.690,1.438,0.02619
LSTM,2,72,tanh,0.01,mean_absolute_error at,144,72,58.8,2.888,1.255,0.02189
LSTM,1,288,sigmoid,1e-05,logcosh at,216,288,219.5,20.717,18.860,0.05280
LSTM,1,144,sigmoid,1e-05,mean_squared_error at,144,36,364.9,13.149,11.838,0.04906
LSTM,2,288,tanh,0.0001,mean_absolute_error at,216,144,676.8,3.978,1.156,0.01846
LSTM,2,144,tanh,0.001,mean_squared_error at,288,144,497.9,1.796,1.117,0.02106
LSTM,1,48,tanh,0.0001,mean_absolute_error at,800,36,1288.7,3.366,1.133,0.01791
LSTM,1,288,tanh,0.001,mean_absolute_error at,216,36,887.6,4.626,1.179,0.01823
LSTM,1,36,sigmoid,0.001,mean_squared_error at,216,288,83.4,2.755,1.626,0.02621
LSTM,1,72,tanh,0.001,mean_absolute_error at,144,72,165.3,2.414,1.116,0.01778
LSTM,2,72,relu,1e-05,mean_squared_error at,216,36,753.8,4.777,1.655,0.02492
LSTM,1,48,tanh,0.0001,mean_absolute_error at,400,36,623.9,4.626,1.132,0.01789
LSTM,1,72,tanh,1e-05,logcosh at,216,36,397.0,3.805,1.426,0.02426
LSTM,1,16,tanh,0.0001,mean_absolute_error at,200,36,333.9,4.314,1.160,0.01794
