model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,1,72,tanh,0.001,mean_squared_error at,216,144,186.3,1.823,1.281,0.02521
LSTM,1,288,sigmoid,1e-05,mean_absolute_error at,216,36,949.9,3.987,0.903,0.01876
LSTM,1,36,relu,0.001,mean_squared_error at,144,72,196.5,3.682,0.986,0.01725
LSTM,1,288,tanh,0.0001,mean_absolute_error at,216,144,375.4,2.610,0.946,0.01642
LSTM,1,144,sigmoid,0.001,mean_squared_error at,288,288,173.2,3.749,0.893,0.01941
LSTM,1,144,sigmoid,0.001,mean_squared_error at,288,288,189.5,3.683,0.896,0.01997
LSTM,1,144,sigmoid,0.001,mean_absolute_error at,288,288,183.8,1.576,0.880,0.01903
LSTM,1,144,sigmoid,0.001,mean_squared_error at,288,288,168.0,3.679,0.908,0.02057
LSTM,1,144,sigmoid,0.001,mean_absolute_error at,288,288,184.4,3.511,0.878,0.01975
LSTM,1,144,sigmoid,0.001,mean_absolute_error at,288,288,183.8,3.639,0.905,0.02066
LSTM,1,72,sigmoid,0.001,mean_squared_error at,288,288,132.3,2.306,1.154,0.02901
LSTM,1,144,relu,0.001,mean_absolute_error at,288,36,965.0,3.655,0.935,0.01633
LSTM,1,36,sigmoid,0.001,mean_squared_error at,144,288,82.1,2.614,1.052,0.02008
LSTM,1,144,sigmoid,0.0001,mean_absolute_error at,288,36,841.2,4.027,0.881,0.01777
LSTM,1,72,relu,0.001,logcosh at,288,288,159.4,5.155,0.905,0.01955
LSTM,1,72,relu,0.01,logcosh at,288,288,162.2,5.465,0.870,0.01742
LSTM,1,72,relu,0.01,logcosh at,288,288,195.1,2.412,0.893,0.02059
LSTM,1,72,relu,0.01,logcosh at,288,288,186.5,1.564,1.060,0.01985
LSTM,1,72,relu,0.01,logcosh at,288,288,167.3,3.389,0.897,0.01999
LSTM,1,72,relu,0.01,logcosh at,288,288,179.0,1.516,1.039,0.01790
LSTM,1,72,relu,0.01,logcosh at,288,144,271.1,1.593,1.070,0.03011
LSTM,1,72,relu,0.01,logcosh at,144,288,132.0,1.544,0.906,0.01841
LSTM,1,72,relu,0.0001,logcosh at,288,288,225.7,2.397,1.336,0.02156
LSTM,1,72,relu,0.01,logcosh at,288,288,194.9,1.486,0.890,0.01779
LSTM,1,72,relu,0.0001,logcosh at,288,144,347.8,2.202,1.178,0.02098
LSTM,1,72,relu,0.0001,logcosh at,144,144,185.3,3.714,1.283,0.02015
LSTM,1,72,relu,0.01,mean_absolute_error at,144,288,97.0,4.794,0.918,0.01730
LSTM,1,72,sigmoid,0.001,mean_absolute_error at,288,144,265.5,3.543,0.877,0.01632
LSTM,1,72,sigmoid,0.001,logcosh at,288,144,259.9,2.122,1.004,0.02074
LSTM,1,16,tanh,0.0001,mean_absolute_error at,300,36,710.6,4.175,0.916,0.01733
LSTM,2,288,tanh,0.01,logcosh at,216,288,841.9,3.964,3.462,0.06301
LSTM,1,72,tanh,0.0001,mean_squared_error at,144,36,381.6,4.357,0.931,0.01952
LSTM,1,72,sigmoid,0.01,mean_squared_error at,288,36,817.1,2.737,0.973,0.02388
LSTM,1,72,sigmoid,0.01,mean_absolute_error at,144,288,133.7,5.130,2.177,0.04531
LSTM,1,36,relu,0.001,mean_squared_error at,288,144,289.2,3.408,0.930,0.01797
LSTM,2,288,sigmoid,0.0001,mean_squared_error at,288,144,1496.7,2.875,1.914,0.03893
LSTM,1,8,tanh,0.0001,mean_absolute_error at,700,36,1617.1,3.058,0.913,0.01754
LSTM,1,288,tanh,1e-05,mean_absolute_error at,216,288,413.5,17.844,16.425,0.05202
LSTM,1,16,tanh,0.0001,mean_absolute_error at,200,36,565.2,4.084,0.905,0.01747
LSTM,2,288,sigmoid,1e-05,mean_squared_error at,144,288,609.9,23.856,20.950,0.05234
LSTM,1,72,sigmoid,0.0001,logcosh at,216,72,315.1,3.996,0.884,0.01870
LSTM,1,4,tanh,0.0001,mean_absolute_error at,200,36,487.1,2.380,1.159,0.01942
LSTM,1,288,sigmoid,0.001,logcosh at,216,288,418.4,1.747,1.000,0.01865
LSTM,2,288,tanh,0.001,mean_squared_error at,144,288,603.8,3.457,0.998,0.01948
LSTM,2,72,tanh,0.01,logcosh at,216,72,689.2,2.127,0.943,0.02163
LSTM,1,288,tanh,0.001,mean_squared_error at,216,72,809.3,3.504,0.946,0.02373
LSTM,2,72,relu,1e-05,mean_squared_error at,216,288,345.6,23.696,22.221,0.04644
LSTM,1,144,sigmoid,1e-05,mean_squared_error at,288,72,600.9,16.214,14.521,0.05167
LSTM,1,56,tanh,0.0001,mean_absolute_error at,600,36,1547.9,3.703,0.940,0.01615
LSTM,2,144,sigmoid,0.001,mean_squared_error at,288,288,522.9,3.534,0.896,0.02033
LSTM,1,288,tanh,0.01,mean_squared_error at,216,288,423.6,1.550,0.934,0.02139
